"","tweet_id","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone","airline_sentiment","ID_unit","Prob","Stratum"
"93",569911816937033728,1,"Cancelled Flight",1,"Virgin America","","AlisonK33774854","",0,"@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .","","2015-02-23 09:29:00 -0800","","","negative",29,0.0653737197646546,1
"150",569596097540132864,1,"Damaged Luggage",0.6501,"Virgin America","","khartline","",0,".@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.","","2015-02-22 12:34:26 -0800","Las Vegas","Pacific Time (US & Canada)","negative",56,0.0653737197646546,1
"158",569572942381649920,1,"Customer Service Issue",0.6983,"Virgin America","","paulnakada","",0,"@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.","","2015-02-22 11:02:26 -0800","San Francisco","Pacific Time (US & Canada)","negative",58,0.0653737197646546,1
"197",569277854950817792,1,"Flight Booking Problems",1,"Virgin America","","lexiesalas","",0,"@VirginAmerica trying to book a flight &amp; your site is down 😁","","2015-02-21 15:29:51 -0800","BAYAREA✈️NYC","Pacific Time (US & Canada)","negative",81,0.0653737197646546,1
"212",569244860286263296,0.642,"Cancelled Flight",0.642,"Virgin America","","BigRichTexasPam","",0,"@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️","[32.8437698, -96.84928399]","2015-02-21 13:18:45 -0800","FREE ADVICE! ","Central Time (US & Canada)","negative",87,0.0653737197646546,1
"233",569204272795004928,0.6701,"Customer Service Issue",0.3505,"Virgin America","","daniellewolff","",0,"@VirginAmerica Trying to reset my password, email never arrives. Help?","","2015-02-21 10:37:28 -0800","Los Angeles, CA","Pacific Time (US & Canada)","negative",99,0.0653737197646546,1
"243",569192778468626432,1,"Customer Service Issue",1,"Virgin America","","bluesmoon","",0,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.","","2015-02-21 09:51:48 -0800","Cambridge, MA, USA, Earth","Eastern Time (US & Canada)","negative",102,0.0653737197646546,1
"260",568945958970531840,1,"Bad Flight",0.6765,"Virgin America","","HenryLucero","",0,"@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒","","2015-02-20 17:31:01 -0800","Los Angeles, CA","","negative",108,0.0653737197646546,1
"288",568853685855334400,1,"Can't Tell",0.6421,"Virgin America","","Yorkshire_D","",0,"@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!","","2015-02-20 11:24:22 -0800","","","negative",116,0.0653737197646546,1
"302",568824637267685376,1,"Customer Service Issue",1,"Virgin America","","miekd","",0,"@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr","","2015-02-20 09:28:56 -0800","San Francisco","Pacific Time (US & Canada)","negative",121,0.0653737197646546,1
